sim_count,starting_bet,result_sum
1000000,1,-889.5
1000000,1,-1528.5
1000000,1,-1862.0
1000000,1,-2766.0
1000000,1,-3535.5
1000000,1,-2338.5
1000000,1,-767.5
1000000,1,-2356.0
1000000,1,-2923.5
1000000,1,-447.5
1000000,1,260.5
1000000,1,57.0
1000000,1,675.5
1000000,1,-1472.0
1000000,1,-472.0
1000000,1,-3282.0
1000000,1,-1954.5
1000000,1,-490.5
1000000,1,-900.0
1000000,1,-482.5
1000000,1,529.0
1000000,1,-117.0
1000000,1,-1783.5
1000000,1,-136.5
1000000,1,90.0
1000000,1,-2244.0
1000000,1,-4307.0
1000000,1,-967.5
1000000,1,-1262.5
1000000,1,-3154.5
1000000,1,-887.5
1000000,1,275.0
1000000,1,-1579.0
1000000,1,761.0
1000000,1,-2064.0
1000000,1,-1784.5
1000000,1,348.5
1000000,1,-3584.0
1000000,1,-1296.5
1000000,1,-230.0
